order_item_id,order_id,product_id,quantity
1,1431,10,4
2,1680,55,2
3,802,16,2
4,4048,86,2
5,3568,80,4
6,552,67,2
7,4934,52,4
8,4933,75,4
9,4784,26,2
10,187,93,5
11,766,40,3
12,202,5,1
13,4705,29,2
14,3817,12,1
15,3766,87,3
16,4326,49,2
17,841,42,2
18,193,48,2
19,1530,7,3
20,4,54,4
21,579,10,1
22,1842,23,2
23,70,89,3
24,1310,19,2
25,1075,82,2
26,1820,4,1
27,634,5,5
28,3743,11,1
29,4738,33,2
30,2876,45,4
31,4597,93,5
32,3072,5,3
33,1211,3,3
34,3662,29,1
35,678,74,4
36,2503,19,4
37,1344,14,1
38,4462,81,5
39,4192,32,1
40,855,76,4
41,3741,3,4
42,3625,27,1
43,4606,31,4
44,3014,8,2
45,4628,85,3
46,1462,64,3
47,2895,90,3
48,750,68,2
49,86,26,5
50,353,82,3
51,4805,60,5
52,4758,91,4
53,1018,70,1
54,2427,70,2
55,3356,41,4
56,3919,63,2
57,4056,51,1
58,2981,6,2
59,2023,71,4
60,4123,42,4
61,242,1,5
62,2930,38,1
63,4015,64,2
64,1857,75,2
65,3905,80,2
66,3906,25,2
67,625,18,1
68,1209,58,2
69,220,32,3
70,4725,44,2
71,3643,85,1
72,2548,44,2
73,1853,87,5
74,1747,87,1
75,2835,30,2
76,3218,18,2
77,1759,87,1
78,1755,66,5
79,819,77,5
80,4885,64,1
81,1643,79,2
82,1907,83,2
83,918,25,4
84,1532,8,1
85,4702,29,2
86,1530,56,3
87,2399,30,1
88,1325,41,5
89,1864,10,2
90,4592,84,4
91,1153,55,2
92,3617,9,5
93,404,44,1
94,2503,80,5
95,4928,21,2
96,1994,13,2
97,1904,45,5
98,1323,13,3
99,3833,88,4
100,2126,67,2
101,3159,36,4
102,2001,32,2
103,3150,54,5
104,2547,4,3
105,3432,15,5
106,2940,100,2
107,3387,69,3
108,3418,45,1
109,3709,90,4
110,1366,55,4
111,418,70,1
112,3137,57,1
113,1720,3,5
114,4940,93,1
115,4763,72,3
116,3174,25,5
117,4066,66,5
118,1550,6,1
119,3258,19,5
120,2242,88,2
121,483,24,1
122,1255,46,3
123,4815,41,4
124,3651,52,3
125,1268,28,3
126,1984,5,3
127,2470,41,5
128,4590,65,2
129,2716,2,2
130,252,33,2
131,628,59,1
132,2765,58,5
133,4351,55,3
134,2202,18,3
135,3985,42,4
136,2031,1,3
137,2873,49,2
138,4349,20,1
139,1722,89,1
140,1405,95,3
141,3973,20,1
142,171,86,1
143,3334,70,1
144,1495,1,3
145,3643,60,5
146,3146,67,5
147,2449,22,5
148,2958,91,2
149,2011,76,5
150,2723,97,1
151,665,60,4
152,3199,86,3
153,770,76,1
154,2632,69,3
155,16,42,1
156,1515,47,3
157,788,94,4
158,3460,29,5
159,4237,87,3
160,403,46,4
161,597,50,2
162,2889,55,3
163,861,48,2
164,4031,73,3
165,3159,54,1
166,3333,47,2
167,2299,72,3
168,2119,12,4
169,1220,7,2
170,1603,29,4
171,3014,29,3
172,3437,80,1
173,4539,30,2
174,891,8,3
175,4476,79,3
176,2857,75,4
177,546,66,2
178,2046,45,5
179,3793,6,1
180,1848,18,5
181,2555,35,2
182,2409,39,2
183,862,40,5
184,2702,45,3
185,1864,16,4
186,3474,24,5
187,4186,82,5
188,1850,15,3
189,1461,18,5
190,819,24,3
191,793,23,4
192,1763,83,4
193,4253,41,3
194,24,92,3
195,552,67,1
196,1871,51,1
197,4233,52,1
198,620,52,4
199,1171,45,5
200,2308,19,5
201,3837,61,3
202,1645,80,3
203,254,81,4
204,3345,63,3
205,1662,21,3
206,1455,19,1
207,3566,17,3
208,3925,29,3
209,1879,54,3
210,4377,2,5
211,3030,63,3
212,2442,95,3
213,4476,59,1
214,1533,72,3
215,3805,22,1
216,1386,92,3
217,4713,33,4
218,1901,38,3
219,4247,1,2
220,186,52,3
221,2798,38,4
222,56,95,4
223,1457,7,5
224,310,74,5
225,1588,100,1
226,1110,67,5
227,1517,13,4
228,3285,72,3
229,116,89,2
230,4751,10,2
231,1601,92,2
232,4777,88,1
233,2920,64,2
234,3117,23,3
235,1444,71,5
236,2585,69,1
237,2106,83,1
238,1035,45,4
239,4933,21,1
240,2147,69,3
241,1179,38,5
242,1062,56,1
243,3059,72,2
244,200,79,3
245,554,74,5
246,3572,66,2
247,4976,59,1
248,2568,19,5
249,910,84,5
250,2889,32,2
251,2971,7,2
252,2291,22,5
253,598,84,3
254,568,78,1
255,3413,42,4
256,2517,45,2
257,360,39,1
258,550,17,2
259,1447,86,4
260,4544,40,4
261,4993,66,4
262,4479,96,5
263,2104,76,4
264,1169,54,2
265,4626,50,1
266,1503,21,2
267,3893,12,5
268,4177,34,3
269,1784,16,2
270,3615,68,4
