order_id,customer_id,order_date,payment_method
1,408,2025-06-07,Debit Card
2,366,2026-02-04,Wallet
3,95,2024-12-03,UPI
4,150,2026-03-20,Net Banking
5,46,2025-10-05,Credit Card
6,220,2026-06-13,Debit Card
7,45,2025-09-07,UPI
8,365,2024-11-21,Credit Card
9,9,2026-04-30,Credit Card
10,478,2025-09-22,Debit Card
11,477,2025-08-21,Wallet
12,308,2026-03-30,Credit Card
13,403,2026-04-30,Wallet
14,243,2026-01-09,UPI
15,77,2026-06-11,Net Banking
16,243,2025-11-30,Credit Card
17,435,2025-12-03,Net Banking
18,35,2026-04-26,UPI
19,469,2025-01-22,Net Banking
20,110,2025-10-06,Wallet
21,330,2025-03-10,Debit Card
22,23,2024-12-07,Credit Card
23,64,2025-08-07,Net Banking
24,360,2026-04-12,Net Banking
25,303,2024-09-05,Debit Card
26,356,2026-03-21,Credit Card
27,459,2025-11-30,Wallet
28,486,2026-02-25,Net Banking
29,388,2026-02-03,Wallet
30,148,2026-01-03,Wallet
31,415,2024-11-06,Debit Card
32,82,2025-09-01,Wallet
33,93,2026-04-06,Wallet
34,234,2025-05-11,UPI
35,191,2026-04-22,Wallet
36,19,2024-11-16,Wallet
37,114,2025-03-26,Wallet
38,202,2024-10-06,Debit Card
39,221,2024-09-01,Net Banking
40,134,2025-12-06,Net Banking
41,375,2026-05-05,Debit Card
42,399,2025-03-09,Net Banking
43,441,2025-07-01,Wallet
44,152,2025-07-02,Debit Card
45,280,2025-04-11,Net Banking
46,312,2025-03-06,Net Banking
47,452,2025-11-19,UPI
48,218,2025-03-16,Wallet
49,242,2026-04-14,UPI
50,71,2025-12-05,Credit Card
51,123,2025-01-03,Wallet
52,28,2024-09-09,UPI
53,373,2025-01-10,Debit Card
54,270,2024-10-14,Credit Card
55,11,2026-04-23,Credit Card
56,187,2026-04-18,Wallet
57,270,2025-11-13,UPI
58,245,2026-02-03,Wallet
59,372,2025-09-23,Credit Card
60,491,2026-03-10,Credit Card
61,119,2025-11-18,Debit Card
62,84,2025-03-15,Credit Card
